School Name,County,Avg. Annual Salaries Administrators,Avg. Annual Salaries Teachers,Avg. Annual Salaries Support Personnel
Alps Road Elementary School,Clarke County,86493.93,49779.02,57393.52
Judia Jackson Harris Elementary,Clarke County,96248.93,55482.03,57626.64
H.T. Edwards Learning Center Facility,Clarke County,87493.61,0,0
Timothy Elementary School,Clarke County,105093.7,57515.07,63972.07
Cleveland Road Elementary School,Clarke County,86101.36,56912.92,60562.93
Coile Middle School,Clarke County,83099.31,56292.67,61974.56
Gaines Elementary School,Clarke County,99870.46,53860.49,54309.25
Howard B. Stroud Elementary School,Clarke County,93979.11,57477.58,65878.08
Burney-Harris-Lyons Middle School,Clarke County,97407.9,55065.96,66760.71
Whit Davis Road Elementary School,Clarke County,102221.88,58075.72,63319.38
Clarke Middle School,Clarke County,83975.01,54484.33,61709.25
Whitehead Road Elementary School,Clarke County,82860.0,57638.92,60595.18
Barnett Shoals Elementary School,Clarke County,92776.83,57453.72,62326.11
Winterville Elementary School,Clarke County,98898.87,60935.03,71130.17
Barrow Elementary School,Clarke County,99330.61,56157.48,70114.98
Fowler Drive Elementary School,Clarke County,100265.72,54109.86,54990.47
Oglethorpe Avenue Elementary School,Clarke County,97734.38,58130.12,60431.74
Chase Street Elementary School,Clarke County,87722.4,57014.71,69031.52
Hilsman Middle School,Clarke County,88637.68,55638.24,58236.4
Clarke Central High School,Clarke County,103386.13,58084.46,64416.96
Athens Community Career Academy,Clarke County,83160.27,57054.79,62443.83
Office of Early Learning,Clarke County,117170.98,54389.67,72828.21
CCSD Learning Center - High,Clarke County,97383.07,61044.12,61956.63
Clay County Middle School,Clay County,86355.28,44765.85,52144.63
Clay County Elementary,Clay County,82661.24,51124.66,57666.08
M. D. Roberts Middle School,Clayton County,104174.01,61688.79,72004.33
Callaway Elementary School,Clayton County,187176.89,112210.24,128984.48000000001
Mundy's Mill High School,Clayton County,111540.41,58883.31,68148.89
Thurgood Marshall Elementary School,Clayton County,100002.29,59367.71,57077.6
Jonesboro Middle School,Clayton County,107092.23,59459.35,77375.5
Sequoyah Middle School,Clayton County,201348.97,118391.31,144571.45
Mount Zion Primary,Clayton County,103222.74,57418.38,66692.67
Elite Scholars Academy School,Clayton County,116213.52,62140.41,67086.5
Charles R. Drew High School,Clayton County,107790.82,56207.63,79598.71
Eddie White Middle School,Clayton County,95255.85,56648.01,63396.94
Morrow Middle School,Clayton County,98223.61,55710.56,66205.83
Kilpatrick Elementary School,Clayton County,110060.0,58803.13,68180.94
Mundys Mill Middle School,Clayton County,113769.29,57852.2,84036.75
Brown Elementary School,Clayton County,101567.92,58864.3,67991.17
Adamson Middle School,Clayton County,105016.28,57279.13,64677.5
Pointe South Elementary School,Clayton County,103500.2,60196.51,68324.5
Lovejoy High School,Clayton County,110198.69,59610.15,73371.38
Lovejoy Middle School,Clayton County,102955.19,59564.64,58666.75
River's Edge Elementary School,Clayton County,106314.39,60461.7,75964.08
Kendrick Middle School,Clayton County,108088.09,58117.81,70561.9
Hawthorne Elementary School,Clayton County,201153.89,124977.45000000001,143958.53
Roberta T. Smith Elementary School,Clayton County,99262.42,56135.26,64753.6
Harper Elementary School,Clayton County,189423.36,115977.57,134969.82
"Martin Luther King, Jr. Elementary School",Clayton County,278361.23,164443.91,182512.89
Kemp Primary,Clayton County,98449.87,58730.7,62643.25
Rex Mill Middle School,Clayton County,103093.92,55731.57,68871.6
